City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,ribeira grande,38.5167,-28.7,16.54,83,26,10.73,Ribeira Grande,1679963257
78,raga,8.4596,25.678,28.55,37,84,2.45,Raja,1679963473
79,chara,56.9064,118.2631,0.12,67,50,1.05,Chara,1679963531
80,young,-32.6833,-57.6333,17.21,59,100,2.53,Young,1679963698
81,kysyl-syr,63.8986,122.7617,-4.67,91,99,4.95,Kysyl-Syr,1679963699
82,east london,-33.0153,27.9116,16.11,69,52,5.76,East London,1679963311
83,porto velho,-8.7619,-63.9039,26.03,83,20,1.54,Porto Velho,1679963702
84,hamilton,39.1834,-84.5333,9.35,75,20,4.12,Hamilton,1679963614
85,kristiansund,63.1115,7.732,-3.64,74,7,1.54,Kristiansund,1679963705
86,bethel,41.3712,-73.414,6.68,83,100,1.54,Bethel,1679963369
87,port elizabeth,-33.918,25.5701,16.16,82,0,6.17,Port Elizabeth,1679963707
88,kafue,-15.7691,28.1814,16.96,96,13,2.31,Kafue,1679963708
89,surgut,61.25,73.4167,-5.9,85,100,10.0,Surgut,1679963710
90,laranjeiras do sul,-25.4078,-52.4161,16.9,89,0,1.46,Laranjeiras do Sul,1679963711
91,kalangala,-0.3089,32.225,21.64,74,99,2.35,Kalangala,1679963713
92,bereda,43.2686,-7.5406,9.76,87,13,0.82,Bereda,1679963714
93,karratha,-20.7377,116.8463,29.08,66,100,1.66,Karratha,1679963715
94,ilulissat,69.2167,-51.1,-14.99,92,75,3.09,Ilulissat,1679963233
95,touros,-5.1989,-35.4608,25.32,86,69,4.03,Touros,1679963718
96,hofn,64.2539,-15.2082,-5.95,86,100,4.72,Hofn,1679963305
97,coahuayana,18.7333,-103.6833,23.06,76,11,1.59,Coahuayana Viejo,1679963720
98,dzerzhinsk,56.2389,43.4631,3.9,93,40,1.0,Dzerzhinsk,1679963722
99,port alfred,-33.5906,26.891,16.77,78,97,1.34,Port Alfred,1679963255
100,albany,42.6001,-73.9662,5.53,85,100,2.18,Albany,1679963724
101,high level,58.5169,-117.136,-1.94,46,0,2.06,High Level,1679963707
102,polangi,11.5265,124.9212,28.57,69,91,2.73,Polangi,1679963728
103,saint george,37.1041,-113.5841,13.02,15,0,2.57,Saint George,1679963271
104,anjozorobe,-18.4,47.8667,17.69,96,98,0.61,Anjozorobe,1679963730
105,kargasok,59.0556,80.8572,-0.91,98,100,5.76,Kargasok,1679963732
106,challapata,-18.9,-66.7667,11.2,63,89,2.31,Challapata,1679963733
107,lata,40.1629,-8.3327,11.07,58,94,1.34,Lata,1679963317
108,kadoma,34.7333,135.5833,12.88,55,0,1.03,Kadoma,1679963736
109,richards bay,-28.783,32.0377,19.23,66,100,1.57,Richards Bay,1679963737
110,rawson,-43.3002,-65.1023,24.63,24,100,8.54,Rawson,1679963470
111,luganville,-15.5333,167.1667,29.96,65,26,1.29,Luganville,1679963740
112,mayo,38.8876,-76.5119,14.11,80,40,2.06,Mayo,1679963741
113,klaksvik,62.2266,-6.589,-2.49,75,77,4.12,Klaksvík,1679963206
114,kemin,42.7846,75.6892,8.61,40,5,2.42,Kemin,1679963744
115,san policarpo,12.1791,125.5072,27.41,79,100,5.11,San Policarpo,1679963745
116,isangel,-19.55,169.2667,29.06,79,20,2.06,Isangel,1679963279
117,dicabisagan,17.0818,122.4157,26.98,73,11,1.99,Dicabisagan,1679963748
118,oranjemund,-28.55,16.4333,17.91,82,0,3.02,Oranjemund,1679963747
119,leningradskiy,69.3833,178.4167,-15.41,77,48,3.02,Leningradskiy,1679963241
120,srednekolymsk,67.45,153.6833,-9.76,75,1,6.04,Srednekolymsk,1679963751
121,punta arenas,-53.15,-70.9167,3.06,81,0,7.72,Punta Arenas,1679963572
122,pasni,25.2631,63.471,23.01,77,4,3.12,Pasni,1679963754
123,hammerfest,70.6634,23.6821,-6.75,93,40,0.51,Hammerfest,1679963755
124,dingle,10.9995,122.6711,27.88,68,100,5.02,Dingle,1679963757
125,mogadishu,2.0371,45.3438,27.41,73,11,5.61,Mogadishu,1679963677
126,wagar,16.1525,36.2032,21.62,58,0,5.68,Wagar,1679963759
127,carnarvon,-24.8667,113.6333,23.67,76,100,4.04,Carnarvon,1679963213
128,denpasar,-8.65,115.2167,26.81,88,20,2.57,Denpasar,1679963762
129,hamirpur,25.95,80.15,21.64,34,40,0.7,Hamīrpur,1679963763
130,souillac,-20.5167,57.5167,22.21,94,20,1.54,Souillac,1679963455
131,zlotoryja,51.1264,15.9198,0.53,85,95,8.19,Złotoryja,1679963766
132,roald,62.5833,6.1333,-0.69,64,3,6.17,Roald,1679963767
133,awjilah,29.1081,21.2869,19.51,27,0,4.38,Awjilah,1679963769
134,goderich,43.7501,-81.7165,2.73,87,100,3.6,Goderich,1679963770
135,lewistown,40.5992,-77.5714,11.67,62,75,4.63,Lewistown,1679963727
136,bengkulu,-3.8004,102.2655,25.94,79,100,1.5,Bengkulu,1679963467
137,hilo,19.7297,-155.09,28.49,78,100,7.2,Hilo,1679963774
138,buraydah,26.326,43.975,15.25,41,11,3.3,Buraidah,1679963268
139,kalabo,-14.97,22.6814,18.24,93,43,1.67,Kalabo,1679963777
140,shitanjing,39.2342,106.3439,10.64,11,76,2.05,Shitanjing,1679963778
141,morondava,-20.2833,44.2833,23.74,80,36,4.63,Morondava,1679963779
142,nizhnyaya poyma,56.1622,97.1933,3.01,84,100,6.52,Nizhnyaya Poyma,1679963781
143,parys,48.8534,2.3488,5.88,70,0,2.57,Paris,1679963497
144,rio gallegos,-51.6226,-69.2181,4.03,75,20,9.26,Río Gallegos,1679963029
145,ranot,7.7777,100.3213,28.42,73,80,4.2,Ranot,1679963784
146,saldanha,-33.0117,17.9442,14.03,69,1,5.29,Saldanha,1679963207
147,garowe,8.4054,48.4845,24.08,81,52,4.68,Garoowe,1679963787
148,ormara,25.2088,64.6357,23.2,70,0,4.04,Ormara,1679963788
149,mantua,45.1667,10.7833,9.08,54,7,1.34,Province of Mantua,1679963790
150,mujiayingzi,42.1167,118.7833,8.86,18,0,3.07,Mujiayingzi,1679963791
151,melendugno,40.2747,18.3368,10.59,81,0,6.17,Melendugno,1679963792
152,pisco,-13.7,-76.2167,23.03,83,40,6.17,Pisco,1679963794
153,longyearbyen,78.2186,15.6401,-13.09,66,40,2.06,Longyearbyen,1679963462
154,bathsheba,13.2167,-59.5167,26.34,69,40,8.23,Bathsheba,1679963375
155,pangnirtung,66.1451,-65.7125,-11.0,79,100,2.57,Pangnirtung,1679963797
156,hirtshals,57.5881,9.9592,0.04,54,8,5.47,Hirtshals,1679963799
157,weligama,5.9667,80.4167,24.54,91,59,1.77,Weligama,1679963800
158,ahipara,-35.1667,173.1667,20.97,61,93,3.09,Ahipara,1679963221
159,beatrice,40.2681,-96.747,5.1,48,100,4.63,Beatrice,1679963803
160,anloga,5.7947,0.8973,28.04,74,78,4.27,Anloga,1679963804
161,sanger,36.708,-119.556,18.96,32,0,4.63,Sanger,1679963805
162,iralaya,15.0,-83.2333,25.62,82,26,6.11,Iralaya,1679963807
163,meadow lake,34.8014,-106.5436,8.31,14,3,8.64,Meadow Lake,1679963808
164,chuy,-33.6971,-53.4616,17.67,74,0,3.47,Chui,1679963230
165,port lincoln,-34.7333,135.8667,20.77,55,4,5.34,Port Lincoln,1679963515
166,cabedelo,-6.9811,-34.8339,26.37,74,100,3.95,Cabedelo,1679963811
167,batagay-alyta,67.8006,130.4114,-14.97,87,100,0.84,Batagay-Alyta,1679963512
168,canaries,28.0,-15.5,16.33,64,0,8.23,Canary Islands,1679963814
169,baiyin,36.5583,104.2081,8.46,27,100,1.02,Baiyin,1679963815
170,khandyga,62.6667,135.6,-1.84,77,100,6.33,Khandyga,1679963816
171,yamada,39.4667,141.95,6.6,74,98,2.48,Yamada,1679963818
172,mahebourg,-20.4081,57.7,24.03,94,20,1.54,Mahébourg,1679963819
173,baruun-urt,46.6806,113.2792,4.38,34,0,3.26,Baruun-Urt,1679963820
174,bud,39.447,-86.1758,6.49,89,100,2.62,Bud,1679963822
175,kavieng,-2.5744,150.7967,29.38,64,70,2.2,Kavieng,1679963267
176,pacific grove,36.6177,-121.9166,14.8,62,0,6.69,Pacific Grove,1679963618
177,tuktoyaktuk,69.4541,-133.0374,-2.0,86,75,5.66,Tuktoyaktuk,1679963825
178,inhambane,-23.865,35.3833,23.73,56,100,6.44,Inhambane,1679963827
179,valparaiso,-33.0393,-71.6273,18.89,61,0,0.51,Valparaíso,1679963744
180,portland,45.5234,-122.6762,13.23,46,100,4.63,Portland,1679963546
181,vanimo,-2.6741,141.3028,29.77,65,59,2.25,Vanimo,1679963831
182,palmer,42.1584,-72.3287,8.28,78,100,4.63,Palmer,1679963633
183,new norfolk,-42.7826,147.0587,13.84,80,100,0.45,New Norfolk,1679963834
184,ancud,-41.8697,-73.8203,10.41,87,15,4.48,Ancud,1679963442
185,walvis bay,-22.9575,14.5053,16.38,92,5,1.25,Walvis Bay,1679963427
186,cayenne,4.9333,-52.3333,25.02,83,40,2.06,Cayenne,1679963511
187,alofi,-19.0595,-169.9187,28.94,79,75,3.09,Alofi,1679963839
188,tasiilaq,65.6145,-37.6368,-7.91,76,51,2.98,Tasiilaq,1679963244
189,oistins,13.0667,-59.5333,26.05,69,40,8.23,Oistins,1679963842
190,juegang,32.3174,121.1855,13.28,52,78,2.54,Juegang,1679963843
191,salalah,17.0151,54.0924,28.05,78,75,3.6,Salalah,1679963845
192,aklavik,68.2191,-135.0107,2.64,84,100,3.1,Aklavik,1679963846
193,zhanakorgan,43.9098,67.2495,13.3,26,0,3.1,Zhanakorgan,1679963848
194,porto walter,-8.2686,-72.7439,22.2,99,78,0.4,Porto Walter,1679963849
